RegionalMember,Year,Inflation,Unit of Measurement, Subregion, Country Code
Developing Asia,2018,2.7,%,,
Developing Asia,2019,3.2,%,,
Developing Asia,2020,3.3,%,,
Developing Asia,2021,2.6,%,,
Developing Asia,2022,4.4,%,,
Developing Asia,2023,4.2,%,,
Developing Asia,2024,3.3,%,,
Developing Asia excluding the PRC,2018,3.3,%,,
Developing Asia excluding the PRC,2019,3.5,%,,
Developing Asia excluding the PRC,2020,4.1,%,,
Developing Asia excluding the PRC,2021,4.2,%,,
Developing Asia excluding the PRC,2022,6.7,%,,
Developing Asia excluding the PRC,2023,6.2,%,,
Developing Asia excluding the PRC,2024,4.4,%,,
Caucasus and Central Asia,2018,8.2,%,Central Asia,
Caucasus and Central Asia,2019,7.4,%,Central Asia,
Caucasus and Central Asia,2020,7.7,%,Central Asia,
Caucasus and Central Asia,2021,9,%,Central Asia,
Caucasus and Central Asia,2022,12.9,%,Central Asia,
Caucasus and Central Asia,2023,10.3,%,Central Asia,
Caucasus and Central Asia,2024,7.5,%,Central Asia,
Armenia,2018,2.5,%,Central Asia,ARM
Armenia,2019,1.4,%,Central Asia,ARM
Armenia,2020,1.2,%,Central Asia,ARM
Armenia,2021,7.2,%,Central Asia,ARM
Armenia,2022,8.6,%,Central Asia,ARM
Armenia,2023,7,%,Central Asia,ARM
Armenia,2024,6.2,%,Central Asia,ARM
Azerbaijan,2018,2.4,%,Central Asia,AZE
Azerbaijan,2019,2.7,%,Central Asia,AZE
Azerbaijan,2020,2.8,%,Central Asia,AZE
Azerbaijan,2021,6.7,%,Central Asia,AZE
Azerbaijan,2022,13.9,%,Central Asia,AZE
Azerbaijan,2023,7,%,Central Asia,AZE
Azerbaijan,2024,6.5,%,Central Asia,AZE
Georgia,2018,2.6,%,Central Asia,GEO
Georgia,2019,4.9,%,Central Asia,GEO
Georgia,2020,5.2,%,Central Asia,GEO
Georgia,2021,9.6,%,Central Asia,GEO
Georgia,2022,11.9,%,Central Asia,GEO
Georgia,2023,6,%,Central Asia,GEO
Georgia,2024,4,%,Central Asia,GEO
Kazakhstan,2018,6,%,Central Asia,KAZ
Kazakhstan,2019,5.3,%,Central Asia,KAZ
Kazakhstan,2020,6.8,%,Central Asia,KAZ
Kazakhstan,2021,8,%,Central Asia,KAZ
Kazakhstan,2022,15,%,Central Asia,KAZ
Kazakhstan,2023,11.8,%,Central Asia,KAZ
Kazakhstan,2024,6.4,%,Central Asia,KAZ
Kyrgyz Republic,2018,1.5,%,Central Asia,KGZ
Kyrgyz Republic,2019,1.1,%,Central Asia,KGZ
Kyrgyz Republic,2020,6.3,%,Central Asia,KGZ
Kyrgyz Republic,2021,11.9,%,Central Asia,KGZ
Kyrgyz Republic,2022,13.9,%,Central Asia,KGZ
Kyrgyz Republic,2023,12,%,Central Asia,KGZ
Kyrgyz Republic,2024,8.6,%,Central Asia,KGZ
Tajikistan,2018,5.4,%,Central Asia,TJK
Tajikistan,2019,8,%,Central Asia,TJK
Tajikistan,2020,9.4,%,Central Asia,TJK
Tajikistan,2021,8,%,Central Asia,TJK
Tajikistan,2022,4.2,%,Central Asia,TJK
Tajikistan,2023,7,%,Central Asia,TJK
Tajikistan,2024,6.5,%,Central Asia,TJK
Turkmenistan,2018,13.2,%,Central Asia,TKM
Turkmenistan,2019,13,%,Central Asia,TKM
Turkmenistan,2020,10,%,Central Asia,TKM
Turkmenistan,2021,12.5,%,Central Asia,TKM
Turkmenistan,2022,10,%,Central Asia,TKM
Turkmenistan,2023,10,%,Central Asia,TKM
Turkmenistan,2024,10,%,Central Asia,TKM
Uzbekistan,2018,17.5,%,Central Asia,UZB
Uzbekistan,2019,14.6,%,Central Asia,UZB
Uzbekistan,2020,12.9,%,Central Asia,UZB
Uzbekistan,2021,10.7,%,Central Asia,UZB
Uzbekistan,2022,11.4,%,Central Asia,UZB
Uzbekistan,2023,11,%,Central Asia,UZB
Uzbekistan,2024,10,%,Central Asia,UZB
East Asia,2018,2,%,East Asia,
East Asia,2019,2.6,%,East Asia,
East Asia,2020,2.2,%,East Asia,
East Asia,2021,1.1,%,East Asia,
East Asia,2022,2.3,%,East Asia,
East Asia,2023,2.3,%,East Asia,
East Asia,2024,2,%,East Asia,
Hong Kong China,2018,2.4,%,East Asia,HKG
Hong Kong China,2019,2.9,%,East Asia,HKG
Hong Kong China,2020,0.3,%,East Asia,HKG
Hong Kong China,2021,1.6,%,East Asia,HKG
Hong Kong China,2022,1.9,%,East Asia,HKG
Hong Kong China,2024,2.1,%,East Asia,HKG
Hong Kong China,2023,2.3,%,East Asia,HKG
Mongolia,2018,6.8,%,East Asia,MNG
Mongolia,2019,7.3,%,East Asia,MNG
Mongolia,2020,3.7,%,East Asia,MNG
Mongolia,2021,7.3,%,East Asia,MNG
Mongolia,2022,15.2,%,East Asia,MNG
Mongolia,2023,10.9,%,East Asia,MNG
Mongolia,2024,8.7,%,East Asia,MNG
People's Republic of China,2018,2.1,%,East Asia,CHN
People's Republic of China,2019,2.9,%,East Asia,CHN
People's Republic of China,2020,2.5,%,East Asia,CHN
People's Republic of China,2021,0.9,%,East Asia,CHN
People's Republic of China,2022,2,%,East Asia,CHN
People's Republic of China,2023,2.2,%,East Asia,CHN
People's Republic of China,2024,2,%,East Asia,CHN
Republic of Korea,2018,1.5,%,East Asia,KOR
Republic of Korea,2019,0.4,%,East Asia,KOR
Republic of Korea,2020,0.5,%,East Asia,KOR
Republic of Korea,2021,2.5,%,East Asia,KOR
Republic of Korea,2022,5.1,%,East Asia,KOR
Republic of Korea,2023,3.2,%,East Asia,KOR
Republic of Korea,2024,2,%,East Asia,KOR
